# typ predmetu, id, meno predmetu, raritnost, vaha, cena // damage, skupina zbrani, 1 or 2 handed, thrown/not-thrown
type:wheapon;id:sekera;name:Sekera;rarity:common;weight:10;value:25;damage:2d6;wheapon_type:axe;two_handed:false;thrown:false


# typ predmetu, id, meno brnenia, raritnost, vaha, cena, typ, armor rating, penalty, reaction (krasa))
armor;lahke_kozene;Lahke kozene brnenie;common;10;25;light;3;0;0

# typ predmetu (asset), id, meno assetu
asset;stlp;Velky kamenny stlp

# typ predmetu (misc), id, meno, raritnost, vaha, cena)
misc;pohar;Poharik;common;10;25

# meno stitu, typ, defence bonus (penalty, vaha, raritnost), cena
shield;maly_stit;Maly dreveny stit;light_shield;1;0;15;common;10

# meno naradia, typ, obycajne, alebo masterwork?, vaha, cena
#tools;naradie_artist;Umelecké náradie;artisan;standard;7;7
